"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","ddt0(epsilon)","ddt0(k)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","epsilon","k","nut","p","p_rgh","total(p)"
0.00039014,-0.13175,0.99128,-1.0533,-2,0.016272,0.0080643,-0.84232,-0.10509,0.5,0.00034794,5.5472e-05,0.099546,-0.43627,-0.066583,0.00018237,-0.0002306,-4.7202e-05,0.11828,0.031676,0.0012153,-47.474,0,148.1
-0.0004081,-0.15744,0.98753,-1.0235,-1.9717,0.020042,0.0077766,-0.71659,-0.09558,0.5,0.00018397,9.0852e-05,0.1139,-0.31531,-0.044917,0.00019797,-0.00014038,-2.3484e-05,0.073024,0.029059,0.0014833,43.499,110.07,169.03
-0.0010866,-0.16779,0.98582,-1.0236,-1.9398,0.025961,0.007546,-0.61734,-0.060529,0.5,0.00014243,0.00013786,0.096467,-0.34003,-0.04018,0.00018119,-0.00018628,-1.9042e-05,0.029589,0.022241,0.0015507,34.634,139.64,126.71
0.00031718,-0.13254,0.99118,-1.0234,-2,0.016253,0.0078018,-0.84092,-0.10549,0.5,0.0002274,4.7664e-05,0.10712,-0.43875,-0.068457,0.0001954,-0.00018684,-4.1889e-05,0.11693,0.031641,0.0012664,-47.378,0,147.76
-0.00048564,-0.15825,0.9874,-0.99365,-1.9718,0.020033,0.0079195,-0.71573,-0.095838,0.5,0.00025589,0.00015579,0.11505,-0.3184,-0.044257,0.00019622,-6.7288e-05,-3.334e-06,0.071069,0.028883,0.001538,43.346,109.83,168.67
-0.0010605,-0.16821,0.98575,-0.99369,-1.9401,0.025933,0.007811,-0.61663,-0.060915,0.5,0.00024895,0.00024805,0.11152,-0.33528,-0.034357,0.00020478,-0.0001438,1.0117e-05,0.028007,0.021941,0.001602,34.476,139.34,126.31
0.00014343,-0.13332,0.99107,-0.99362,-2,0.016239,0.0078873,-0.83986,-0.10583,0.5,0.00023491,7.4591e-05,0.10571,-0.45689,-0.074765,0.00019016,-0.00010061,-3.6886e-05,0.11566,0.031606,0.0013081,-47.304,0,147.52
-0.00058098,-0.15893,0.98729,-0.96384,-1.972,0.020029,0.0083966,-0.71524,-0.096075,0.5,0.00038706,0.00025285,0.11284,-0.29896,-0.052661,0.00018794,2.9915e-05,5.9058e-06,0.069642,0.028809,0.0015874,43.214,109.65,168.45
-0.0010749,-0.16858,0.98569,-0.96387,-1.9404,0.025916,0.008431,-0.61626,-0.061158,0.5,0.00041445,0.00040715,0.13316,-0.31965,-0.036759,0.00023067,-8.0116e-05,3.2732e-05,0.02667,0.02168,0.0016484,34.349,139.12,126.07
-2.2738e-05,-0.13402,0.99098,-0.96383,-2,0.016232,0.0083492,-0.83911,-0.10617,0.5,0.00027238,0.00012084,0.10014,-0.43456,-0.086344,0.00017994,2.5161e-05,-4.1921e-05,0.11492,0.031666,0.001345,-47.261,0,147.37
-0.00058568,-0.15957,0.98719,-0.93405,-1.9721,0.020027,0.0090516,-0.71494,-0.096322,0.5,0.0004743,0.0003542,0.11996,-0.2234,-0.059621,0.00020591,0.00014482,1.3506e-05,0.068588,0.02881,0.0016337,43.101,109.5,168.31
